ID;Endereço Ip;País;Código do País;Região;Cidade;Data_hora;Data;Hora;Método;Recurso;Protocolo;Status code;Bytes
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
1;203.0.113.10;United States;US;New York;New York;2025-04-17 01:17:15;2025-04-17;01:17:15;DELETE;/login;HTTP/1.1;301;1391
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
2;192.168.1.1;;;;;2025-04-17 01:16:45;2025-04-17;01:16:45;GET;/login;HTTP/1.1;403;4938
